Data_Avist,localidade,municipio,estado,Latitude,Longitude
2019-09-11,Cotolelo,Nísia Floresta,Rio Grande do Norte,"05° 57' 43.28"" S","35° 08' 51.66"" W"
2019-09-30,Pedra do Sal,Parnaíba,Piauí,"02° 48' 24.80"" S","41° 43' 35.27"" W"
2019-11-08,Praia de Cumuruxatiba,Prado,Bahia,"17° 03' 25.16"" S","39° 10' 19.38"" W"
2019-11-08,Praia de Cumuruxatiba,Prado,Bahia,"17° 03' 44.13"" S","39° 10' 04.35"" W"
2019-11-09,Praia de Sabiaguaba,Fortaleza,Ceará,"03° 46' 15.63"" S","38° 26' 01.92"" W"
2019-11-05,Praia de Barra de Tabatinga,Nísia Floresta,Rio Grande do Norte,"06° 03' 22.03"" S","35° 06' 00.81"" W"
2019-11-09,Praia de Cueira,Cairu,Bahia,"13° 35' 21.61"" S","38° 54' 49.87"" W"
2019-09-11,Praia de Búzios,Nísia Floresta,Rio Grande do Norte,"06° 01' 00.14"" S","35° 06' 29.43"" W"
2019-09-10,Pirambúzios,Nísia Floresta,Rio Grande do Norte,"05° 59' 33.38"" S","35° 06' 46.30"" W"
2019-10-22,Barra do Jacuípe,Camaçari,Bahia,"12° 42' 16.96"" S","38° 07' 14.36"" W"
2019-09-10,Barra de Tabatinga,Nísia Floresta,Rio Grande do Norte,"06° 03' 40.45"" S","35° 05' 50.33"" W"
2019-11-01,Praia de Quitérias,Icapuí,Ceará,"04° 44' 49.98"" S","37° 17' 06.88"" W"
2019-11-08,Praia do Pontal,Parnaíba,Piauí,"02° 45' 46.68"" S","41° 46' 54.00"" W"
2019-10-20,Praia de Siriba,Ilhéus,Bahia,"14° 57' 37.93"" S","39° 00' 22.74"" W"
2019-10-18,Ponta da Gameleira,Sirinhaém,Pernambuco,"08° 40' 11.93"" S","35° 04' 13.72"" W"
2019-10-18,Ponta das Ilhotas,Barreiros,Pernambuco,"08° 47' 00.97"" S","35° 06' 14.33"" W"
2019-09-17,Praia de Areia Preta,Natal,Rio Grande do Norte,"05° 47' 24.82"" S","35° 11' 15.32"" W"
2019-11-05,Praia de Barreta,Senador Georgino Avelino,Rio Grande do Norte,"06° 08' 24.86"" S","35° 05' 54.47"" W"
2019-11-04,Praia de Guaratiba,Prado,Bahia,"17° 24' 50.76"" S","39° 12' 05.19"" W"
2019-11-08,Praia da Paixão,Prado,Bahia,"17° 15' 13.19"" S","39° 13' 01.34"" W"
2019-09-07,Barra do rio Camaratuba,Mataraca,Paraíba,"06° 35' 42.58"" S","34° 57' 57.67"" W"
2019-10-01,Piaçabuçu,Piaçabuçu,Alagoas,"10° 26' 24.88"" S","36° 21' 17.88"" W"
2019-10-01,Lagoinha,Paraipaba,Ceará,"03° 20' 49.61"" S","39° 06' 54.92"" W"
2019-11-08,Praia de Mundaú,Trairi,Ceará,"03° 10' 42.65"" S","39° 22' 20.23"" W"
2019-10-10,Imbassaí,Mata de São João,Bahia,"12° 29' 56.31"" S","37° 57' 33.15"" W"
2019-09-03,Carneiros,Tamandaré,Pernambuco,"08° 42' 22.85"" S","35° 04' 45.36"" W"
2019-09-22,Praia do Gunga,Barra de São Miguel,Alagoas,"09° 51' 56.08"" S","35° 54' 20.86"" W"
2019-10-21,Praia de Flexeiras,Feliz Deserto,Alagoas,"10° 19' 08.34"" S","36° 18' 03.47"" W"
2019-10-29,Mangue da Foz do Rio Coruripe,Coruripe,Alagoas,"10° 09' 32.48"" S","36° 09' 19.84"" W"
2019-09-22,Falésias do Gunga,Roteiro,Alagoas,"09° 54' 15.67"" S","35° 56' 21.46"" W"
2019-11-07,Praia do Peba,Piaçabuçu,Alagoas,"10° 24' 57.15"" S","36° 20' 33.63"" W"
2019-11-05,Praia de Flexeiras,Feliz Deserto,Alagoas,"10° 20' 13.55"" S","36° 18' 11.47"" W"
2019-09-18,Praia do Francês,Marechal Deodoro,Alagoas,"09° 46' 02.52"" S","35° 50' 11.95"" W"
2019-09-21,Lot. Encontro do Mar,Barra de São Miguel,Alagoas,"09° 47' 15.31"" S","35° 51' 15.82"" W"
2019-09-15,Pajuçara/Ponta Verde,Maceió,Alagoas,"09° 39' 53.60"" S","35° 42' 12.31"" W"
2019-11-05,Praia Angra de Ipioca,Maceió,Alagoas,"09° 29' 57.00"" S","35° 34' 28.49"" W"
2019-09-27,Lagoa do Pau,Coruripe,Alagoas,"10° 07' 44.24"" S","36° 06' 31.88"" W"
2019-11-07,"Miai de cima, miai de baixo - Coruripe e praia do Toco - feliz deserto",Coruripe,Alagoas,"10° 13' 48.08"" S","36° 13' 30.16"" W"
2019-10-22,Lagoa Azeda,Jequiá da Praia,Alagoas,"09° 58' 29.57"" S","35° 58' 53.64"" W"
2019-10-12,Coruripe,Coruripe,Alagoas,"10° 10' 21.26"" S","36° 10' 02.14"" W"
2019-11-03,Praia da Costa,Barra dos Coqueiros,Sergipe,"10° 54' 11.86"" S","36° 59' 38.89"" W"
2019-09-24,Praia de Jatobá,Barra dos Coqueiros,Sergipe,"10° 48' 15.52"" S","36° 54' 42.16"" W"
2019-10-12,Mangue,Itaporanga D'ajuda,Sergipe,"11° 06' 50.50"" S","37° 10' 05.06"" W"
2019-09-02,Praia do Porto,Barra dos Coqueiros,Sergipe,"10° 50' 43.01"" S","36° 56' 55.65"" W"
2019-10-21,Praia Atalaia Nova,Aracaju,Sergipe,"10° 55' 26.64"" S","37° 02' 41.26"" W"
